矫焙备,青沥悼,楷飞,拌,巢,咯,单捞磐扁霖老
合备,吝蕊1悼,0技-9技,0,0,0,2022-08-04
合备,吝蕊1悼,10技-19技,3,0,3,2022-08-04
合备,吝蕊1悼,20技-29技,426,163,263,2022-08-04
合备,吝蕊1悼,30技-39技,434,225,209,2022-08-04
合备,吝蕊1悼,40技-49技,248,191,57,2022-08-04
合备,吝蕊1悼,50技-59技,249,183,66,2022-08-04
合备,吝蕊1悼,60技-69技,273,160,113,2022-08-04
合备,吝蕊1悼,70技-79技,155,62,93,2022-08-04
合备,吝蕊1悼,80技-89技,77,19,58,2022-08-04
合备,吝蕊1悼,90技-99技,7,0,7,2022-08-04
合备,吝蕊1悼,100技-109技,0,0,0,2022-08-04
合备,吝蕊2悼,0技-9技,0,0,0,2022-08-04
合备,吝蕊2悼,10技-19技,11,4,7,2022-08-04
合备,吝蕊2悼,20技-29技,752,378,374,2022-08-04
合备,吝蕊2悼,30技-39技,402,278,124,2022-08-04
合备,吝蕊2悼,40技-49技,244,170,74,2022-08-04
合备,吝蕊2悼,50技-59技,258,183,75,2022-08-04
合备,吝蕊2悼,60技-69技,287,147,140,2022-08-04
合备,吝蕊2悼,70技-79技,199,54,145,2022-08-04
合备,吝蕊2悼,80技-89技,125,32,93,2022-08-04
合备,吝蕊2悼,90技-99技,11,4,7,2022-08-04
合备,吝蕊2悼,100技-109技,1,0,1,2022-08-04
合备,吝蕊3悼,0技-9技,0,0,0,2022-08-04
合备,吝蕊3悼,10技-19技,11,4,7,2022-08-04
合备,吝蕊3悼,20技-29技,551,280,271,2022-08-04
合备,吝蕊3悼,30技-39技,430,285,145,2022-08-04
合备,吝蕊3悼,40技-49技,288,193,95,2022-08-04
合备,吝蕊3悼,50技-59技,263,182,81,2022-08-04
合备,吝蕊3悼,60技-69技,209,106,103,2022-08-04
合备,吝蕊3悼,70技-79技,162,40,122,2022-08-04
合备,吝蕊3悼,80技-89技,93,25,68,2022-08-04
合备,吝蕊3悼,90技-99技,13,3,10,2022-08-04
合备,吝蕊3悼,100技-109技,0,0,0,2022-08-04
合备,吝居悼,0技-9技,0,0,0,2022-08-04
合备,吝居悼,10技-19技,11,3,8,2022-08-04
合备,吝居悼,20技-29技,266,120,146,2022-08-04
合备,吝居悼,30技-39技,230,141,89,2022-08-04
合备,吝居悼,40技-49技,198,135,63,2022-08-04
合备,吝居悼,50技-59技,249,186,63,2022-08-04
